bias,symboling,normalized-losses,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,volume,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,num-of-cylinders_eight,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_three,num-of-cylinders_twelve,fuel-system_1bbl,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,price
1,1.7868502765393013,1.3365751518254572,0.04521532536965994,0.5130273132917839,-1.8081856316208678,-0.2882725271359697,0.19856866497527656,-0.2133593742584,-0.55705817394536,-1.1682942054640106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13495.0
1,1.7868502765393013,1.3365751518254572,0.04521532536965994,0.5130273132917839,-1.8081856316208678,-0.2882725271359697,0.19856866497527656,-0.2133593742584,-0.55705817394536,-1.1682942054640106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16500.0
1,0.16396979008243007,0.16715015601591166,0.5755586168602018,-2.3948267557639022,0.7029179593549403,-0.2882725271359697,1.3342828969737741,-0.2133593742584,-0.7041337246587039,-0.42204099377699855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,16500.0
1,0.9754100333108657,1.2009615904087274,-0.4610214528713119,-0.5176045086520045,0.4804151095216399,-0.03620385308177354,-0.039138964977897324,0.8562083979979977,-0.11583152180532783,0.16952655626338364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13950.0
1,0.9754100333108657,1.2009615904087274,0.18985440486708047,-0.5176045086520045,0.4804151095216399,-0.5403412011901658,0.3042165005100205,0.8562083979979977,-1.29243592751208,0.19355132364384234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17450.0
1,0.9754100333108657,0.08296362686539695,0.18985440486708047,-0.5176045086520045,0.4804151095216399,-0.4143068641630678,0.1721567060915906,0.8562083979979977,-0.8512092753720479,0.03640486819275164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15250.0
1,0.16396979008243007,1.025865599718773,0.18985440486708047,-0.5176045086520045,0.4804151095216399,-0.4143068641630678,0.1721567060915906,0.8562083979979977,-0.8512092753720479,1.8173850397243503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17710.0
1,0.16396979008243007,0.16715015601591166,0.18985440486708047,-0.5176045086520045,0.4804151095216399,-0.4143068641630678,0.1721567060915906,0.8562083979979977,-0.8512092753720479,1.8173850397243503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18920.0
1,0.16396979008243007,1.025865599718773,0.06932183861923004,-0.7384541847828163,0.4804151095216399,-0.46472059897390683,0.9645154726021702,0.8562083979979977,-1.586587028938768,1.8518556195677685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,23875.0
1,0.9754100333108657,2.018076213628515,-0.485127966120882,0.6234521513571889,-1.4267521747637841,-0.33868626194680873,-0.06555092386158332,1.4979490613518365,-0.26290707251867185,0.010168614533662058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16430.0
1,-0.6474704531460056,2.018076213628515,-0.485127966120882,0.6234521513571889,-1.4267521747637841,-0.33868626194680873,-0.06555092386158332,1.4979490613518365,-0.26290707251867185,0.010168614533662058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16925.0
1,-0.6474704531460056,1.9013455531685457,0.8648367758550429,-0.07590515639038094,-0.18709343997825828,-0.2882725271359697,0.46268825381213646,-1.8177110326429966,-0.4099826232320159,0.010168614533662058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20970.0
1,-0.6474704531460056,1.9013455531685457,0.8648367758550429,-0.07590515639038094,-0.18709343997825828,-0.2882725271359697,0.46268825381213646,-1.8177110326429966,-0.4099826232320159,0.010168614533662058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,21105.0
1,0.16396979008243007,0.16715015601591166,0.8648367758550429,-0.07590515639038094,-0.18709343997825828,-0.2882725271359697,0.46268825381213646,-1.8177110326429966,-0.8512092753720479,1.039627784774996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24565.0
1,-0.6474704531460056,-0.2824905529367203,1.9496298720856968,1.0651515036188124,0.44862898811688356,-0.5403412011901658,2.073817745716982,0.6422948435467182,-1.29243592751208,1.039627784774996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30760.0
